[Header]	
System	TOC_TNb Standard	
S/W Version	1.00	
User		
Date/Time	3/17/2025 9:31:35 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Comments	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Rem.	SD Area	CV Area	SD Conc	CV Conc	Vial	Excluded	Inj. Vol.	Auto. Dil.	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2025_03_07_15_45_07.cal	1.00			3/14/2025 2:53:16 PM	1	1	NPOC	0.4380	0.5201	0.1251	0.1485	NPOC:0.1485mg/L TN:0.00243mg/L	NPOC:0.1485mg/L TN:0.00243mg/L	*******	0.07724	14.85	0.02206	14.85	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2025_03_07_15_45_07.cal	1.00			3/14/2025 2:55:30 PM	1	2	NPOC	0.5913	0.5201	0.1689	0.1485	NPOC:0.1485mg/L TN:0.00243mg/L	NPOC:0.1485mg/L TN:0.00243mg/L	*******	0.07724	14.85	0.02206	14.85	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2025_03_07_15_45_07.cal	1.00			3/14/2025 2:57:38 PM	1	3	NPOC	0.2125	0.5201	0.06068	0.1485	NPOC:0.1485mg/L TN:0.00243mg/L	NPOC:0.1485mg/L TN:0.00243mg/L	*******	0.07724	14.85	0.02206	14.85	1	1	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2025_03_07_15_45_07.cal	1.00			3/14/2025 2:59:55 PM	1	4	NPOC	0.8382	0.5201	0.2394	0.1485	NPOC:0.1485mg/L TN:0.00243mg/L	NPOC:0.1485mg/L TN:0.00243mg/L	*******	0.07724	14.85	0.02206	14.85	1	1	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2025_03_07_15_45_07.cal	1.00			3/14/2025 3:02:02 PM	1	5	NPOC	0.5311	0.5201	0.1517	0.1485	NPOC:0.1485mg/L TN:0.00243mg/L	NPOC:0.1485mg/L TN:0.00243mg/L	*******	0.07724	14.85	0.02206	14.85	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\TN_0-3mgL_20220610.2025_03_07_17_04_04.cal	1.00			3/14/2025 2:53:16 PM	1	1	TN	0.00800	0.04017	-0.00068	0.00243	NPOC:0.1485mg/L TN:0.00243mg/L	NPOC:0.1485mg/L TN:0.00243mg/L	*******	0.06277	156.27	0.00606	249.43	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\TN_0-3mgL_20220610.2025_03_07_17_04_04.cal	1.00			3/14/2025 2:55:30 PM	1	2	TN	0.1125	0.04017	0.00941	0.00243	NPOC:0.1485mg/L TN:0.00243mg/L	NPOC:0.1485mg/L TN:0.00243mg/L	*******	0.06277	156.27	0.00606	249.43	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\TN_0-3mgL_20220610.2025_03_07_17_04_04.cal	1.00			3/14/2025 2:57:38 PM	1	3	TN	0.000	0.04017	-0.00145	0.00243	NPOC:0.1485mg/L TN:0.00243mg/L	NPOC:0.1485mg/L TN:0.00243mg/L	*******	0.06277	156.27	0.00606	249.43	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2025_03_07_15_45_07.cal	1.00			3/14/2025 3:09:33 PM	1	1	NPOC	0.4409	0.3626	0.1259	0.1036	NPOC:0.1036mg/L TN:0.01373mg/L	NPOC:0.1036mg/L TN:0.01373mg/L	*******	0.09112	25.13	0.02602	25.13	2	0	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2025_03_07_15_45_07.cal	1.00			3/14/2025 3:11:40 PM	1	2	NPOC	0.2626	0.3626	0.07499	0.1036	NPOC:0.1036mg/L TN:0.01373mg/L	NPOC:0.1036mg/L TN:0.01373mg/L	*******	0.09112	25.13	0.02602	25.13	2	0	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2025_03_07_15_45_07.cal	1.00			3/14/2025 3:13:47 PM	1	3	NPOC	0.3844	0.3626	0.1098	0.1036	NPOC:0.1036mg/L TN:0.01373mg/L	NPOC:0.1036mg/L TN:0.01373mg/L	*******	0.09112	25.13	0.02602	25.13	2	0	50	1.000	
