Voxel Resolution,0.0381,,,,Pores ,,,,,,,Volume (mm3),Area (mm2),Diameter(mm),Area Fraction
Sizes X Y Z ,826,830,1386,,Fraction     Total Vol (mm3) Label vox cnt,Label vol (mm3),Total Vol (mm3),Label vox cnt,total vox cnt,,Label analysis,,,,
Actual Size (mm),31.4706,31.623,52.8066,,0.121693,6395.31,52552.8,115634386,950213880,,Mean,0.0372051,0.0372051,7.15E-02,7.08E-07
,,,,,,,,,,,Min,5.53E-05,5.53E-05,4.73E-02,1.05E-09
Pores,0.121693,,,,Pores (connected),,,,,,Max,6070.619141,6070.619141,22.63314056,1.16E-01
,,,,,Fraction    ,Label vol (mm3),Total Vol (mm3),Label vox cnt,total vox cnt,,Median,5.53E-05,5.53E-05,4.73E-02,1.05E-09
Pores.Axis.Connectivity,0.115515,,,,0.115515,6070.62,52552.8,109763538,950213880,,Variance,214.7194366,214.7194366,6.68E-03,7.77E-08
,,,,,,,,,,,Kurtosis,171583.4844,171583.4844,34038.25781,171583.5
Pores connected (%),94.92%,,,,Pores (unconnected),,,,,,Skewness,414.2089233,414.2089233,127.1560822,414.2089539
,,,,,Fraction    ,Label vol (mm3),Total Vol (mm3),Label vox cnt,total vox cnt,,,,,,
Bulk Density (g/mol),1.95662,,,,0.00617845,324.695,52552.8,5870848,950213880,,,,,,
,,,,,,,,,,,,,,,
PNM in Z,,,,,,,,,,,,,,,
k [µm^2],k [d],TotalFlowRatePerSec,Tortuosity,,,,,,,,,,,,
3.24E-05,3.28E-05,1.60E+02,2.067561524,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PNM in Y,,,,,,,,,,,,,,,
k [µm^2],k [d],TotalFlowRatePerSec,Tortuosity,,,,,,,,,,,,
1.89E-03,1.92E-03,2.62E+04,1.533102083,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PNM in X,,,,,,,,,,,,,,,
k [µm^2],k [d],TotalFlowRatePerSec,Tortuosity,,,,,,,,,,,,
1.10E-03,1.12E-03,1.55E+04,1.580167045,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Image cropping,,,,,,,,,,,,,,,
Min index: ,429,357,318,,,,,,,,,,,,
Max index: ,1254,1186,1703,,,,,,,,,,,,
,Min,Max,,,,,,,,,,,,,
Scan intensity:,-2.71957,309.589,,,,,,,,,,,,,
Thresholding intensity (Otsu),-2.71957,21.1507,,,,,,,,,,,,,
