Voxel,0.0381,,,,Pores ,,,,,,,Volume (mm3),Area (mm2),Diameter(mm),Area Fraction
Sizes X Y Z ,726,703,1563,,Fraction     Total Vol (mm3) Label vox cnt,Label vol (mm3),Total Vol (mm3),Label vox cnt,total vox cnt,,Label analysis,,,,
Actual Size ,27.6606,26.7843,59.5503,,0.109201,4835.23,44278.1,87112263,797720814,,Mean,0.037849728,0.037849728,1.07E-01,8.55E-07
,,,,,,,,,,,Min,5.55E-05,5.55E-05,4.73E-02,1.25E-09
Pores,0.109201,,,,Pores (connected),,,,,,Max,3832.598877,3832.598877,19.41623306,8.66E-02
,,,,,Fraction    ,Label vol (mm3),Total Vol (mm3),Label vox cnt,total vox cnt,,Median,1.11E-04,1.11E-04,5.96E-02,2.51E-09
Pores.Axis.Connectivity,0.0865575,,,,0.0865575,3832.6,44278.1,69048741,797720814,,Variance,115.1450119,115.1450119,1.72E-02,5.87E-08
,,,,,,,,,,,Kurtosis,127480.9688,127480.9688,3744.660889,127480.8281
Connected Pores (%),79.26%,,,,Pores (unconnected),,,,,,Skewness,356.9674683,356.9674683,29.16156387,356.9670715
,,,,,Fraction    ,Label vol (mm3),Total Vol (mm3),Label vox cnt,total vox cnt,,,,,,
Bulk Density,2.25442,,,,0.0226439,1002.63,44278.1,18063522,797720814,,,,,,
,,,,,,,,,,,,,,,
PNM in Z,,,,,,,,,,,,,,,
k [µm^2],k [d],TotalFlowRatePerSec,Tortuosity,,,,,,,,,,,,
7.78E-08,7.88E-08,2.55E-01,1.857510548,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PNM in Y,,,,,,,,,,,,,,,
k [µm^2],k [d],TotalFlowRatePerSec,Tortuosity,,,,,,,,,,,,
5.55E-04,5.63E-04,9.03E+03,1.490186426,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PNM in X,,,,,,,,,,,,,,,
k [µm^2],k [d],TotalFlowRatePerSec,Tortuosity,,,,,,,,,,,,
2.59E-04,2.62E-04,3.94E+03,1.601230415,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Image cropping,,,,,,,,,,,,,,,
Min index,632,643,224,,,,,,,,,,,,
max index,1357,1354,1786,,,,,,,,,,,,
,min,max,,,,,,,,,,,,,
Scan intensity:,-21.38,462.2,,,,,,,,,,,,,
Thresholding intensity (Otsu),-21.38,28.9869,,,,,,,,,,,,,
