Voxel,0.0381,,,,Pores ,,,,,,,Volume (mm3),Area (mm2),Diameter(mm),Area Fraction
Sizes X Y Z ,820,813,1553,,Fraction     Total Vol (mm3) Label vox cnt,Label vol (mm3),Total Vol (mm3),Label vox cnt,total vox cnt,,Label analysis,,,,
Actual Size ,31.242,30.9753,59.1693,,0.0776872,4448.36,57259.9,80431299,1035322980,,Mean,0.046423867,0.046423867,9.62E-02,8.08E-07
,,,,,,,,,,,Min,5.55E-05,5.55E-05,4.73E-02,9.66E-10
Pores,0.0776872,,,,Pores (connected),,,,,,Max,4034.918457,4034.918457,19.75204659,7.02E-02
,,,,,Fraction    ,Label vol (mm3),Total Vol (mm3),Label vox cnt,total vox cnt,,Median,1.11E-04,1.11E-04,5.96E-02,1.93E-09
Pores.Axis.Connectivity,0.0556597,,,,0.0556597,3187.07,57259.9,57625778,1035322980,,Variance,153.1275177,153.1275177,1.51E-02,4.64E-08
,,,,,,,,,,,Kurtosis,106198.7813,106198.7813,6312.503418,106199
Connected Pores (%),71.65%,,,,Pores (unconnected),,,,,,Skewness,325.736084,325.736084,45.11467361,325.7366638
,,,,,Fraction    ,Label vol (mm3),Total Vol (mm3),Label vox cnt,total vox cnt,,,,,,
Bulk Density,2.29526,,,,0.0220274,1261.29,57259.9,22805521,1035322980,,,,,,
,,,,,,,,,,,,,,,
PNM in Z,,,,,,,,,,,,,,,
k [µm^2],k [d],TotalFlowRatePerSec,Tortuosity,,,,,,,,,,,,
1.85E-06,1.87E-06,7.93E+00,1.830500137,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PNM in Y,,,,,,,,,,,,,,,
k [µm^2],k [d],TotalFlowRatePerSec,Tortuosity,,,,,,,,,,,,
4.09E-06,4.14E-06,6.41E+01,1.885720091,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PNM in X,,,,,,,,,,,,,,,
k [µm^2],k [d],TotalFlowRatePerSec,Tortuosity,,,,,,,,,,,,
4.57E-08,4.63E-08,7.07E-01,1.754839023,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Image cropping,,,,,,,,,,,,,,,
Min index,523,344,267,,,,,,,,,,,,
max index,1342,1156,1819,,,,,,,,,,,,
,min,max,,,,,,,,,,,,,
Scan intensity:,-35.47,613,,,,,,,,,,,,,
Thresholding intensity (Otsu),-35.47,20.6891,,,,,,,,,,,,,
