Voxel,0.0381,,,,Pores ,,,,,,,Volume (mm3),Area (mm2),Diameter(mm),Area Fraction
Sizes X Y Z ,726,703,1563,,Fraction     Total Vol (mm3) Label vox cnt,Label vol (mm3),Total Vol (mm3),Label vox cnt,total vox cnt,,Label analysis,,,,
Actual Size ,27.6606,26.7843,59.5503,,0.115824,5194.14,44844.9,93578481,807933456,,Mean,0.020340685,0.020340685,8.17E-02,4.54E-07
,,,,,,,,,,,Min,5.55E-05,5.55E-05,4.73E-02,1.24E-09
Pores,0.115824,,,,Pores (connected),,,,,,Max,4344.342773,4344.342773,20.24456787,9.69E-02
,,,,,Fraction    ,Label vol (mm3),Total Vol (mm3),Label vox cnt,total vox cnt,,Median,5.55E-05,5.55E-05,4.73E-02,1.24E-09
Pores.Axis.Connectivity,0.0968748,,,,0.0968748,4344.34,44844.9,78268399,807933456,,Variance,74.103508,74.103508,8.68E-03,3.68E-08
,,,,,,,,,,,Kurtosis,254620.5,254620.5,8654.750977,254620.7031
Connected Pores (%),83.64%,,,,Pores (unconnected),,,,,,Skewness,504.5792236,504.5792236,44.65539551,504.5796204
,,,,,Fraction    ,Label vol (mm3),Total Vol (mm3),Label vox cnt,total vox cnt,,,,,,
Bulk Density,2.24148,,,,0.0189497,849.797,44844.9,15310082,807933456,,,,,,
,,,,,,,,,,,,,,,
PNM in Z,,,,,,,,,,,,,,,
k [µm^2],k [d],TotalFlowRatePerSec,Tortuosity,,,,,,,,,,,,
1.21E-06,1.23E-06,4.02E+00,1.763733507,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PNM in Y,,,,,,,,,,,,,,,
k [µm^2],k [d],TotalFlowRatePerSec,Tortuosity,,,,,,,,,,,,
9.47E-04,9.59E-04,1.52E+04,1.585005496,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PNM in X,,,,,,,,,,,,,,,
k [µm^2],k [d],TotalFlowRatePerSec,Tortuosity,,,,,,,,,,,,
2.31E-04,2.34E-04,3.56E+03,1.633758437,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Image cropping,,,,,,,,,,,,,,,
Min index,,,,,,,,,,,,,,,
max index,,,,,,,,,,,,,,,
,min,max,,,,,,,,,,,,,
Scan intensity:,-22.37,494.7,,,,,,,,,,,,,
Thresholding intensity (Otsu),-22.37,29.723,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
